gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,perfectMentalHealth,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive
Female,50k - 80k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Sometimes,No,1,1,0,1,-1,-1,-1,-2,1,0,-1,0,0,1,-1,2,0,1,-1,1,-1,0,-1,-1,0,1,0,0,2,1,0,1
Male,20k - 50k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have family",At least once a week,Sometimes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,15k - 20k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Always,Yes,-1,-1,1,1,1,0,0,-1,1,1,-1,-1,0,0,1,-1,0,1,0,-1,1,-1,2,2,1,-1,2,1,0,1,1,-1
Female,0 - 10k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,80k - 120k,140 - 150,Yes,They complement each other,Always,"Yes, I have family",At least once a week,Always,Yes,-1,-1,2,1,1,1,1,-1,2,2,0,2,-1,0,0,-1,1,2,1,-1,1,-1,2,2,1,-1,2,2,1,2,1,-1
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Always,Yes,0,0,1,0,1,0,0,-1,-1,1,0,0,1,-1,0,0,-1,1,0,1,0,-1,0,0,1,0,0,1,1,0,0,1
Female,80k - 120k,165 - 170,Yes,They are separate,Always,"Yes, I have friends",More than three times a week,Sometimes,Yes,-2,-1,2,2,2,1,-1,-2,2,1,2,2,1,2,1,-2,2,2,2,-2,2,-1,1,1,2,-2,2,2,-1,2,1,-2
Female,20k - 50k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Always,Yes,1,-1,1,1,-1,1,1,-2,2,1,1,-1,-1,1,-1,-2,1,1,0,-1,0,-1,1,2,-1,-2,2,-1,-1,1,1,-1
Female,10k - 15k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,-1,-1,1,0,0,0,1,-1,0,1,0,1,-1,1,1,-1,1,1,0,-1,0,-1,1,1,-1,-1,1,1,-1,1,0,0
Male,10k - 15k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-2,-2,-1,-1,1,-1,-2,-2,1,0,-1,-1,1,0,1,-1,-1,1,1,-1,1,1,0,-1,-1,1,1,-1,1,1,1,1
Female,50k - 80k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Sometimes,Yes,-1,-1,2,0,1,-1,1,0,1,2,-2,1,1,1,2,-1,1,2,1,-1,0,0,0,-1,1,-1,1,1,1,1,1,-1
Female,15k - 20k,160 - 165,No,They are separate,Rarely,"Yes, I have both",No,Sometimes,Yes,0,1,1,-1,0,0,-1,0,2,2,2,-1,1,1,-1,-1,-2,1,1,2,0,0,0,1,0,0,0,0,-1,1,0,-1
Male,150k - 200k,140 - 150,Yes,They complement each other,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,0,1,0,-1,0,-1,1,0,-1,0,1,0,1,0,1,-1,-1,1,1,2,-1,1,-1,0,0,0,0,-2,1,0,0,-1
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Sometimes,Yes,-1,-1,1,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,1,1,1,1,-1,1,0,1,-1,0,0,0,0,2,1
Male,80k - 120k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have family",More than three times a week,Always,Yes,0,0,1,0,0,-1,0,-1,1,1,0,1,-1,0,1,-2,1,0,1,1,1,0,2,0,1,-1,1,1,-1,1,0,1
Female,0 - 10k,155 - 160,Yes,They conflict,Sometimes,"Yes, I have family",At least once a week,Sometimes,Yes,1,1,2,1,0,1,1,-1,1,2,0,-1,-1,0,1,-2,1,1,0,-1,0,-2,2,1,1,-2,1,1,-2,2,1,0
Female,20k - 50k,140 - 150,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Always,Yes,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,-1,1,-1,1,1,0,0,1,0,0,1,0,0
Female,0 - 10k,160 - 165,Yes,They are separate,Always,"Yes, I have both",At least once a month,Sometimes,Yes,-1,0,1,1,0,1,1,-1,1,1,-1,0,-1,1,1,-2,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1
Male,50k - 80k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Sometimes,No,-1,0,1,1,2,-1,-1,-1,-1,2,0,-2,1,1,-1,1,-2,2,1,1,1,1,1,1,0,1,-1,0,0,-1,0,-2
Male,80k - 120k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,0,1,-1,-1,0,0,0,-1,1,1,0,-1,0,-1,1,-1,1,1,2,0,-1,-1,0,1,1,0,1,1,1,0,-1
Female,0 - 10k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,-1,1,0,0,-1,0,1,-1,1,0,0
Male,20k - 50k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Sometimes,No,1,1,1,2,0,0,1,1,0,1,-1,2,0,1,1,1,-1,1,1,1,1,1,1,1,-1,2,2,1,-1,2,-1,-2
Male,50k - 80k,165 - 170,Yes,They conflict,Always,"Yes, I have both",At least once a month,Always,Yes,-1,-1,2,1,1,1,1,-1,1,2,-1,1,-1,1,1,-1,1,1,1,-2,1,-1,2,1,2,-2,1,1,-1,1,1,-1
Male,50k - 80k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-2,-2,0,1,0,0,0,-2,1,1,-2,-2,0,1,0,-1,1,2,1,0,0,1,2,0,-1,-2,1,0,1,1,1,1
Male,0 - 10k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Sometimes,Yes,1,0,2,1,2,1,0,0,1,1,0,1,-1,0,0,-1,1,2,1,1,0,-1,1,1,1,0,1,2,-1,1,2,1
Male,80k - 120k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have friends",Rarely,Always,Yes,-1,0,1,-1,-1,1,0,-1,0,0,0,-1,1,0,1,-1,0,0,0,1,-1,-1,1,0,-1,1,1,0,0,1,1,1
Male,50k - 80k,180 - 185,Yes,They conflict,Always,"Yes, I have both",At least once a week,Always,Yes,-2,-1,2,1,0,1,0,-2,1,2,-2,0,0,0,0,0,1,1,0,-1,0,-1,2,1,2,-1,0,0,0,1,1,0
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,No,1,1,2,-1,-1,-1,1,1,1,0,1,1,-1,0,1,-1,0,1,1,-1,0,-1,2,1,-1,-2,1,0,-1,0,1,1
Male,200k above,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Always,Yes,1,-2,1,1,1,0,0,-2,2,1,-1,-1,2,0,1,1,1,2,1,-1,1,1,0,0,1,-1,1,2,-1,2,-2,-1
Female,20k - 50k,160 - 165,Yes,They complement each other,Always,"Yes, I have both",At least once a month,Always,Yes,0,1,2,2,0,-1,1,0,2,2,-1,1,0,-1,2,1,1,2,-1,-1,-1,1,2,2,1,-1,1,2,-1,1,-2,-2
Male,20k - 50k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,1,0,2,0,0,1,1,-2,0,1,-2,0,-1,1,1,1,0,1,0,0,0,-1,1,1,0,-1,1,1,-1,2,1,0
Female,0 - 10k,155 - 160,Yes,They complement each other,Never,"Yes, I have family",Rarely,Rarely,No,2,2,-1,-1,-1,-1,1,0,-1,-1,0,-1,1,-1,-1,2,-1,1,-1,1,-1,2,-1,-1,-2,2,0,-2,2,0,0,2
Female,50k - 80k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Always,Yes,-1,-1,1,1,0,1,-1,-1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
Male,80k - 120k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Always,No,0,-1,1,0,1,0,0,-1,-1,1,-2,1,-1,1,0,-1,-1,1,1,-1,1,-1,-1,0,1,0,0,-1,1,1,1,-1
Female,80k - 120k,160 - 165,Yes,They are separate,Always,"Yes, I have both",At least once a week,Always,No,1,-1,1,1,1,1,-1,-1,-1,1,1,1,2,1,1,-1,1,2,2,-1,2,-1,1,0,1,-1,1,1,-1,2,1,-2
Male,20k - 50k,185 - 190,Yes,They are separate,Rarely,"Yes, I have both",Rarely,Always,Yes,-1,-1,1,1,0,0,1,-1,0,-1,-1,-2,0,0,0,0,0,1,0,-1,0,1,0,0,1,1,0,0,0,0,-1,-1
Male,20k - 50k,140 - 150,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,1,0,0,0,1,0,0,0,0
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Always,Yes,0,0,2,2,0,0,-1,-1,1,1,-1,-1,0,0,1,1,-2,1,1,0,1,-1,2,0,2,1,1,0,-1,0,-1,0
Male,0 - 10k,170 - 175,Yes,They are separate,Rarely,"Yes, I have both",No,Always,Yes,0,0,-1,-1,1,0,-1,-2,1,0,-1,-1,0,1,0,-1,1,1,1,-1,0,-1,0,0,0,-1,0,0,-1,1,1,-1
Female,120k - 150k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a month,Sometimes,No,-1,1,2,-1,1,-1,-1,-2,1,1,-1,-1,1,0,-1,1,-1,1,-1,0,0,-1,1,1,0,1,-1,-1,1,0,1,-1
Male,0 - 10k,175 - 180,Yes,They conflict,Rarely,No,At least once a week,Always,Yes,1,1,1,2,1,1,-1,-1,2,2,2,1,1,2,0,2,1,1,0,1,1,0,1,2,-1,1,-1,1,1,1,1,0
Female,20k - 50k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Sometimes,Yes,1,0,0,0,-2,-1,-1,0,0,1,2,-1,0,-1,1,1,0,-1,0,0,1,2,0,0,1,0,0,-1,0,0,0,0
Female,20k - 50k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have family",Rarely,Never,Yes,1,1,0,-2,1,-1,0,1,-1,1,1,0,1,0,1,1,-1,0,0,1,0,0,1,0,-1,1,-1,0,1,-1,0,1
Male,0 - 10k,170 - 175,Yes,They complement each other,Always,"Yes, I have both",At least once a month,Rarely,Yes,1,1,0,-1,1,1,0,1,1,2,-1,1,1,1,-1,0,-1,1,1,-1,0,-2,-1,0,0,2,0,-1,1,0,1,1
Male,20k - 50k,180 - 185,Yes,They conflict,Sometimes,"Yes, I have both",At least once a week,Rarely,Yes,-1,-1,2,1,1,2,0,-2,2,0,-2,0,0,0,1,-2,1,1,0,0,0,-2,1,1,0,-1,1,0,-2,1,0,0
Male,0 - 10k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,1,-1,1,0,0,0,1,-1,-1,0,-1,0,1,0,1,-1,0,2,-1,1,0,-1,-1,1,0,1,1,0,-1,1,0,0
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,No,Rarely,Sometimes,No,2,2,1,-1,0,-1,1,1,-1,1,-1,1,2,-1,1,2,-2,0,-2,2,-1,1,0,0,1,2,-1,0,0,-1,-1,2
Male,0 - 10k,170 - 175,No,They complement each other,Rarely,"Yes, I have family",Rarely,Always,Yes,0,-2,2,0,1,-1,-2,2,-2,0,-2,0,2,-2,0,2,-2,2,0,2,0,2,-2,0,0,2,-2,-2,2,-2,2,2
Male,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,-1,-1,0,0,0,0,0,-1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0
Male,15k - 20k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,-1,1,0,0,0,0,-1,1,1,-1,0,0,0,0,-1,0,1,1,0,0,0,1,1,0,0,1,1,-1,1,0,-1
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,-1,-1,0,1,0,1,0,-1,0,1,-1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,0,0,1,1,-1,1,1,0
Male,20k - 50k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",Rarely,Sometimes,Yes,0,-1,2,1,-2,1,1,0,0,2,-1,1,-2,1,1,2,0,1,2,1,-2,0,0,1,0,1,0,2,0,0,1,2
Male,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-1,-1,1,0,-1,0,0,0,0,-1,-1,0,1,0,1,-1,0,1,1,0,0,-1,0,1,0,0,1,1,-1,1,0,0
Female,0 - 10k,165 - 170,Yes,They are separate,Always,"Yes, I have both",At least once a month,Always,Yes,0,-2,2,2,0,1,0,-1,1,0,-1,-2,-2,0,0,-1,1,1,1,1,1,-2,2,1,2,0,0,1,-2,1,0,-1
Male,0 - 10k,170 - 175,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Always,No,1,1,1,1,-1,-1,0,1,-1,1,-1,-1,1,-2,1,2,-1,2,1,-1,1,1,-1,-1,1,2,-1,1,2,-2,0,-1
Male,20k - 50k,180 - 185,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Always,No,-1,-1,1,-1,-1,-1,0,-1,0,0,-2,-1,-1,2,0,0,0,1,-1,1,0,0,1,-1,0,1,-1,-1,2,0,1,0
Male,0 - 10k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,No,1,1,-1,1,-2,1,-2,-1,1,-1,-2,0,-2,2,-1,0,-1,1,2,-1,-1,-2,0,-1,1,1,-1,-1,2,0,2,2
Male,120k - 150k,175 - 180,Yes,They are separate,Sometimes,No,At least once a week,Always,No,1,1,2,0,0,0,0,0,-2,-1,1,1,-2,-1,0,-2,-1,2,0,0,0,-1,1,1,-1,2,-1,0,1,-2,0,1
Male,80k - 120k,180 - 185,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Always,Yes,-1,0,2,2,0,2,0,-1,1,2,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,2,1,1,0,-1,1,1,-1
Female,0 - 10k,160 - 165,No,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,1,1,1,-1,1,1,0,1,1,1,1,0,1,0,0,-1,-1,1,1,1,0,-1,1,0,-1,1,1,1,1,1,0,1
Female,0 - 10k,150 - 155,Yes,They conflict,Sometimes,"Yes, I have family",Rarely,Always,No,1,0,1,-1,-1,0,0,-1,0,0,-1,0,-1,0,1,1,1,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0
Male,0 - 10k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-1,-1,1,-1,-1,-1,0,-1,-1,0,-1,0,-1,0,0,-2,0,1,0,0,1,-1,1,1,0,-1,1,0,-2,1,1,-1
Male,50k - 80k,170 - 175,Yes,They complement each other,Always,"Yes, I have friends",At least once a week,Sometimes,Yes,-2,-2,2,1,0,0,1,-1,1,2,-2,-1,1,1,1,-1,1,1,1,-1,1,0,1,2,1,-2,1,1,0,1,0,0
Male,80k - 120k,190 above,Yes,They conflict,Sometimes,"Yes, I have both",Rarely,Rarely,No,-1,-1,2,2,-1,0,0,-2,1,2,-1,-1,-1,1,-1,0,0,2,0,1,1,-1,1,2,2,-1,0,1,-1,1,1,-1
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Rarely,Yes,-1,-1,1,1,-1,1,-1,-1,1,1,-1,0,-1,0,0,-1,1,1,0,0,0,-1,0,0,0,1,0,-1,0,1,0,1
Female,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-2,1,1,1,-1,0,1,-1,0,1,-1,0,-1,1,0,-1,2,1,-1,1,-1,0,0,1,0,1,0,0,0,1,0,1
Male,150k - 200k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,-1,-1,1,0,0,0,0,-1,1,-1,-1,0,-1,-1,0,1,0,1,0,-1,1,-1,1,1,-1,-1,1,-1,-1,1,0,-1
Female,0 - 10k,140 - 150,Yes,They complement each other,Sometimes,No,Rarely,Sometimes,Yes,1,1,1,0,0,0,1,1,0,0,-1,0,0,0,0,-1,-1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,-1
Female,0 - 10k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Sometimes,Yes,-1,-1,1,0,-1,0,0,-1,1,1,0,0,0,0,0,-1,1,1,0,-1,0,0,0,0,-1,0,1,0,0,1,0,0
Male,20k - 50k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Always,Yes,1,1,1,1,0,0,1,1,1,1,0,1,-1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
Female,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-1,0,2,0,1,1,-1,-1,1,1,-1,1,-1,0,1,-2,0,-1,0,-1,1,-1,1,1,1,-1,1,1,-1,1,1,0
Other,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have family",At least once a month,Always,Yes,-1,0,2,0,2,1,-1,-1,1,1,-2,1,-1,1,1,-1,0,2,1,-1,0,-1,1,1,1,0,1,0,-1,1,0,-1
Female,15k - 20k,150 - 155,Yes,They conflict,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,-1,0,2,0,-1,1,0,-2,1,1,1,-2,-1,0,2,1,0,2,1,-1,2,-1,2,2,1,1,1,0,-1,2,1,-1
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,1,2,-1,0,0,-1,-1,1,1,-1,1,1,-1,0,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,0,0,-1
Male,0 - 10k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Always,Yes,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,-2,0,0,0,0,-1,0,0,1,0,0,1,0,0,1,1,0
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",No,Rarely,Yes,0,0,0,-1,0,-1,-1,0,0,1,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,-1
Male,0 - 10k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",Rarely,Always,Yes,-1,1,1,1,0,-1,1,0,0,0,-1,-1,0,-1,1,0,0,-1,0,0,1,-1,0,0,-1,1,0,0,1,-1,0,1
Male,120k - 150k,180 - 185,Yes,They conflict,Rarely,No,Rarely,Sometimes,No,2,1,1,-1,-1,-1,-1,1,-1,0,1,-1,1,1,1,2,-2,1,-1,1,-1,0,-1,-1,0,2,-2,-1,2,-1,0,2
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-1,-1,1,1,0,0,0,-1,1,1,-1,0,1,0,1,-1,0,1,1,0,0,-1,1,1,0,0,1,1,-1,1,0,0
Female,10k - 15k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,0,1,1,-1,0,0,0,1,1,-1,1,1,1,1,0,-1,1,1,0,1,-1,1,1,2,1,1,1,1,1,1,0
